PartitionKey,RowKey,serialization_method,circuit_qubits,circuit_depth,circuit_size,qpy_serialization_success,num_qubits,gate_counts,width,name,pauli_gate_count,two_qubit_gate_count,two_qubit_gate_percentage,depth,density_score,idling_score,igdepth,diameter,radius,connected_components,max_degree,min_cut_upper,edge_count,node_count,average_degree,std_dev_adjacency_matrix,central_point_of_dominance,core_number,average_clustering_coefficient,average_shortest_path_length,pagerank,sparsity,locality_ratio,statevector_execution_time,statevector_memory_usage,statevector_transpiled_depth,statevector_transpiled_size,statevector_gate_counts,statevector_entropy,matrix_product_state_execution_time,matrix_product_state_memory_usage,matrix_product_state_transpiled_depth,matrix_product_state_transpiled_size,matrix_product_state_gate_counts,unitary_execution_time,unitary_memory_usage,unitary_transpiled_depth,unitary_transpiled_size,unitary_gate_counts,density_matrix_execution_time,density_matrix_memory_usage,density_matrix_transpiled_depth,density_matrix_transpiled_size,density_matrix_gate_counts,stabilizer_execution_time,stabilizer_memory_usage,stabilizer_transpiled_depth,stabilizer_transpiled_size,stabilizer_gate_counts,extended_stabilizer_execution_time,extended_stabilizer_memory_usage,extended_stabilizer_transpiled_depth,extended_stabilizer_transpiled_size,extended_stabilizer_gate_counts,statevector_saved_execution_time,statevector_saved_memory_usage,statevector_saved_transpiled_depth,statevector_saved_transpiled_size,statevector_saved_gate_counts,blob_url,statevector_saved_entropy,statevector_saved_sparsity
circuits,00002c67d57d2eb0a9f99dad03225b2fce0652319b1712044e5bfb2690427039,qpy,23,292,1201,True,23,"{""h"": 21, ""cx"": 706, ""rz"": 364, ""barrier"": 7, ""rx"": 63, ""ry"": 46, ""TwoLocal"": 1}",23,circuit-56347593-459221,0,706,58.443708609271525,292,0.17543586550435866,0.6911852293031566,292,4.0,3.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",21,5,195,23,16.956521739130434,3.0876342215641306,0.028394513134772873,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19, ""20"": 20, ""21"": 21, ""22"": 22}",0.8637602179836512,1.9604743083003953,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19, ""20"": 20, ""21"": 21, ""22"": 22}",2.3873517786561265,0.4610927152317881,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://inferqstorage.blob.core.windows.net/circuits/00/00002c67d57d2eb0a9f99dad03225b2fce0652319b1712044e5bfb2690427039.qpy,,
circuits,000043031a8ad4da18cb2f1740065f2280300b089c6d9e2ad3489ac357540b3a,qpy,17,41,171,True,17,"{""rxx"": 1, ""crx"": 1, ""csdg"": 1, ""y"": 3, ""p"": 1, ""r"": 2, ""ryy"": 1, ""u2"": 1, ""sdg"": 1, ""cp"": 1, ""rzz"": 1, ""rx"": 53, ""cu1"": 1, ""u"": 1, ""u3"": 1, ""csx"": 1, ""barrier"": 2, ""rz"": 51, ""cz"": 48, ""TwoLocal"": 1}",17,HierarchicalCircuit_3gens,3,56,32.369942196531795,41,0.13871951219512196,0.6040172166427547,41,5.0,3.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",16,1,122,17,14.352941176470589,1.3609309300959767,0.125,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16}",0.9994100294985251,1.463235294117647,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16}",0.6360294117647058,1.0,0.0011570453643798828,64084,24,100,"{""unitary"": 1, ""barrier"": 2, ""u3"": 51, ""cz"": 48}",,0.001104593276977539,64084,24,100,"{""unitary"": 1, ""barrier"": 2, ""u3"": 51, ""cz"": 48}",None,None,None,None,None,None,None,None,None,None,0.0025835037231445312,64084,53,305,"{""rz"": 137, ""sx"": 117, ""cy"": 3, ""barrier"": 2, ""cz"": 48}",0.0025975704193115234,64084,56,309,"{""p"": 140, ""sx"": 118, ""cx"": 3, ""barrier"": 2, ""cz"": 48}",0.007162570953369141,64084,24,100,"{""unitary"": 1, ""barrier"": 2, ""u3"": 51, ""cz"": 48, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/000043031a8ad4da18cb2f1740065f2280300b089c6d9e2ad3489ac357540b3a.qpy,13.562825429773259,1.0
circuits,00007e1bf4b1191dc5386a9885490910bd6ff007d7068292e3f75ca229e985f4,qpy,19,11,46,True,19,"{""x"": 1, ""h"": 37, ""cx"": 8}",37,HierarchicalCircuit_1gens,1,8,17.391304347826086,11,0.04040404040404041,0.7416267942583732,11,2.0,0.0,"[[0], [1], [2], [3], [4], [5], [6, 7, 9, 10, 13, 14, 15, 17, 18], [8], [11], [12], [16]]",8,0,8,19,0.8421052631578947,0.205808040121958,0.18300653594771243,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18}",0.0,1.7777777777777777,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18}",0.13450292397660818,0.8478260869565217,0.0004525184631347656,64084,10,25,"{""h"": 16, ""u2"": 1, ""cx"": 8}",,0.0003712177276611328,64084,10,25,"{""h"": 16, ""u2"": 1, ""cx"": 8}",None,None,None,None,None,None,None,None,None,None,0.0004315376281738281,64084,11,26,"{""h"": 17, ""x"": 1, ""cx"": 8}",0.00035762786865234375,64084,11,26,"{""h"": 17, ""x"": 1, ""cx"": 8}",0.0047223567962646484,64084,10,25,"{""h"": 16, ""u2"": 1, ""cx"": 8, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/00007e1bf4b1191dc5386a9885490910bd6ff007d7068292e3f75ca229e985f4.qpy,1.0000000027866247,0.0006103515625
circuits,0000b9887aeec3e332b1bf162e4677d38356f5ebf387103feb64630e7923107e,qpy,18,38,119,True,18,"{""u2"": 6, ""x"": 1, ""isometry_to_uncompute_dg"": 6, ""h"": 24, ""cp"": 5, ""barrier"": 1, ""cz"": 77}",24,HierarchicalCircuit_2gens,1,82,68.33333333333333,38,0.20588235294117646,0.6535087719298246,38,2.0,2.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",14,6,96,18,10.666666666666666,0.936401645372911,0.04475373482726423,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17}",0.6445182724252492,1.457516339869281,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17}",0.39215686274509803,0.4,0.0012180805206298828,64084,38,117,"{""u2"": 6, ""x"": 1, ""diagonal"": 4, ""h"": 24, ""cp"": 5, ""barrier"": 1, ""cz"": 77}",,0.0011365413665771484,64084,38,117,"{""u2"": 6, ""x"": 1, ""diagonal"": 4, ""h"": 24, ""cp"": 5, ""barrier"": 1, ""cz"": 77}",None,None,None,None,None,None,None,None,None,None,0.0014164447784423828,64084,56,156,"{""rz"": 30, ""sx"": 8, ""x"": 2, ""cx"": 15, ""h"": 24, ""barrier"": 1, ""cz"": 77}",0.0013785362243652344,64084,56,155,"{""u1"": 5, ""sx"": 8, ""p"": 23, ""x"": 1, ""cx"": 14, ""rz"": 2, ""h"": 24, ""ecr"": 1, ""barrier"": 1, ""cz"": 77}",0.03163003921508789,64084,38,117,"{""u2"": 6, ""x"": 1, ""diagonal"": 4, ""h"": 24, ""cp"": 5, ""barrier"": 1, ""cz"": 77, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/0000b9887aeec3e332b1bf162e4677d38356f5ebf387103feb64630e7923107e.qpy,17.090135145970823,1.0
circuits,0001b267940e63be2ad1c0d66c2aded08c9148f8991f57c4ef105a40e5aa69f7,qpy,12,727,1252,True,12,"{""ry"": 36, ""cy"": 33, ""barrier"": 1, ""h"": 593, ""x"": 472, ""ccx"": 118}",15,HierarchicalCircuit_2gens,472,33,2.6336791699920195,727,-0.08190571464299112,0.8242778541953233,727,148.0,121.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",3,1,12,12,2.0,23.923162590538347,0.5454545454545454,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11}",0.23076923076923078,49.63636363636363,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11}",9.492424242424242,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://inferqstorage.blob.core.windows.net/circuits/00/0001b267940e63be2ad1c0d66c2aded08c9148f8991f57c4ef105a40e5aa69f7.qpy,,
circuits,0001b341e00e67fdbe608b25f9b1328fd189c932b0c5aa6084f125da0916e7ad,qpy,27,189,1293,True,27,"{""u2"": 27, ""u"": 378, ""cx"": 780, ""barrier"": 1, ""r"": 108}",27,circuit-30701484-376943,0,780,60.278207109737245,189,0.28001628001628,0.588477366255144,189,4.0,4.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",26,26,351,27,26.0,0.8778077780947138,0.0,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19, ""20"": 20, ""21"": 21, ""22"": 22, ""23"": 23, ""24"": 24, ""25"": 25, ""26"": 26}",1.0,2.1481481481481484,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19, ""20"": 20, ""21"": 21, ""22"": 22, ""23"": 23, ""24"": 24, ""25"": 25, ""26"": 26}",1.8433048433048433,0.49768160741885625,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://inferqstorage.blob.core.windows.net/circuits/00/0001b341e00e67fdbe608b25f9b1328fd189c932b0c5aa6084f125da0916e7ad.qpy,,
circuits,0001b4b18527f5e65b5df76e3c1eb787a774a7023113b01cd5b045401b5597e1,qpy,18,40,75,True,18,"{""x"": 1, ""ry"": 34, ""cz"": 17, ""cx"": 17, ""barrier"": 1, ""A(\u03b8=1.441)"": 1, ""h"": 2, ""c_Q**1"": 1, ""c_Q**2"": 1, ""QFT\u2020"": 1}",20,HierarchicalCircuit_2gens,1,37,48.68421052631579,40,0.06470588235294118,0.8194444444444444,40,17.0,9.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",4,2,34,18,3.7777777777777777,0.6129477327064893,0.5294117647058824,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17}",0.0,6.333333333333333,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17}",0.24836601307189543,0.9868421052631579,0.0012552738189697266,64084,62,99,"{""ry"": 35, ""x"": 1, ""cz"": 17, ""cx"": 23, ""barrier"": 1, ""h"": 16, ""cu"": 6, ""cp"": 1}",,0.0009577274322509766,64084,40,73,"{""ry"": 34, ""x"": 1, ""cz"": 17, ""cx"": 17, ""barrier"": 1, ""unitary"": 2, ""cp"": 1, ""h"": 1}",None,None,None,None,None,None,None,None,None,None,0.001828908920288086,64084,111,204,"{""sx"": 76, ""rz"": 84, ""x"": 3, ""cz"": 17, ""cx"": 19, ""barrier"": 1, ""cy"": 2, ""ecr"": 2, ""h"": 1}",0.0018219947814941406,64084,116,213,"{""sx"": 80, ""rz"": 72, ""x"": 4, ""cz"": 19, ""cx"": 21, ""barrier"": 1, ""p"": 16, ""h"": 1}",0.009348392486572266,64084,62,99,"{""ry"": 35, ""x"": 1, ""cz"": 17, ""cx"": 23, ""barrier"": 1, ""h"": 16, ""cu"": 6, ""cp"": 1, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/0001b4b18527f5e65b5df76e3c1eb787a774a7023113b01cd5b045401b5597e1.qpy,5.981314302426752,0.00048828125
circuits,0001b9f5c2ea19204a9d8d594a8809a769011af86ac4ff5627a86f37344d2c46,qpy,20,1,1,True,20,"{""RealAmplitudes"": 1}",20,circuit-166132671-376943,0,0,0.0,1,0.0,0.0,1,1.0,1.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",19,19,190,20,19.0,0.21794494717703372,0.0,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19}",1.0,1.0,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19}",0.002631578947368421,1.0,0.005014181137084961,64084,81,650,"{""ry"": 80, ""cx"": 570}",,0.004927873611450195,64084,81,650,"{""ry"": 80, ""cx"": 570}",None,None,None,None,None,None,None,None,None,None,0.006798505783081055,64084,93,890,"{""sx"": 160, ""rz"": 160, ""cx"": 570}",0.006811380386352539,64084,93,890,"{""sx"": 160, ""rz"": 160, ""cx"": 570}",0.5146012306213379,64084,81,650,"{""ry"": 80, ""cx"": 570, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/0001b9f5c2ea19204a9d8d594a8809a769011af86ac4ff5627a86f37344d2c46.qpy,15.909706132931353,1.0
circuits,0002a760e2923b4c6d5fd89a7fea70fa338d792a6b90cc36cce1dabf19032010,qpy,20,133,1046,True,20,"{""A(\u03b8=0.126)"": 1, ""h"": 2, ""c_Q**1"": 1, ""c_Q**2"": 1, ""QFT\u2020"": 1, ""barrier"": 1, ""ry"": 120, ""rz"": 120, ""cx"": 800}",22,circuit-12982481-376942,0,803,76.6953199617956,133,0.5864661654135338,0.29736842105263156,133,10.0,10.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",18,13,160,20,16.0,2.0,0.012280774780774781,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19}",0.8385631709331132,5.7894736842105265,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19}",2.7552631578947366,0.31614135625596945,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://inferqstorage.blob.core.windows.net/circuits/00/0002a760e2923b4c6d5fd89a7fea70fa338d792a6b90cc36cce1dabf19032010.qpy,,
circuits,0002f03d8800974fa0082d17c88c60c429f4c89b6ecc6e7e8ecb6eb579d86ed8,qpy,12,35,96,True,12,"{""x"": 1, ""ry"": 42, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""rz"": 24}",12,circuit-376294999-376942,1,29,29.896907216494846,35,0.07532467532467532,0.6738095238095239,35,11.0,6.0,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",4,1,20,12,3.3333333333333335,0.9952626987414795,0.5454545454545454,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11}",0.0,4.333333333333333,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""11"": 11}",0.7348484848484849,1.0,0.0009083747863769531,64084,33,72,"{""ry"": 18, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""u3"": 24}",,0.0008533000946044922,64084,33,72,"{""ry"": 18, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""u3"": 24}",0.0007848739624023438,64084,33,72,"{""ry"": 18, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""u3"": 24}",0.0007765293121337891,64084,33,72,"{""ry"": 18, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""u3"": 24}",0.0018475055694580078,64084,69,198,"{""sx"": 84, ""rz"": 84, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1}",0.0017898082733154297,64084,69,198,"{""sx"": 84, ""rz"": 36, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""p"": 48}",0.0015804767608642578,64084,33,72,"{""ry"": 18, ""x"": 1, ""cz"": 9, ""cx"": 20, ""barrier"": 1, ""u3"": 24, ""save_statevector"": 1}",https://inferqstorage.blob.core.windows.net/circuits/00/0002f03d8800974fa0082d17c88c60c429f4c89b6ecc6e7e8ecb6eb579d86ed8.qpy,9.991192066007882,1.0
